Company,Strategy,Investment Approach,AUM (INR Cr.),1 Month,3 Month,6 Month,1 Year,2 Year,3 Year,4 Year,5 Year,Since Inception
QUANTUM ADVISORS PVT.LTD. INP000000187,MULTI ASSET,,,,,,,,,,,
QUANTUM ADVISORS PVT.LTD. INP000000187,MULTI ASSET,Quantum OCIO Strategy,52.98,3.3144,3.1982,0,0,0,0,0,0,3.802
QUANTUM ADVISORS PVT.LTD. INP000000187,MULTI ASSET,Benchmark: NSE Multi Asset Index 2,,2.5788,3.4918,0,0,0,0,0,0,5.3316
ANAND RATHI ADVISORS LIMITED INP000000282,MULTI ASSET,,,,,,,,,,,
ANAND RATHI ADVISORS LIMITED INP000000282,MULTI ASSET,IDEAA Portfolio,22.73218,3.78,4.5,7.42,0,0,0,0,0,6.77
ANAND RATHI ADVISORS LIMITED INP000000282,MULTI ASSET,Benchmark: MULTI-ASSET,,2.58,3.49,7.58,0,0,0,0,0,9.89
ATLAS INTEGRATED FINANCE LTD INP000000530,MULTI ASSET,,,,,,,,,,,
ATLAS INTEGRATED FINANCE LTD INP000000530,MULTI ASSET,MOMENTUM 20 PMS,6.05067,1.25,-6.73,-1.33,-17.67,0,0,0,0,-12.82
ATLAS INTEGRATED FINANCE LTD INP000000530,MULTI ASSET,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,0,0,0,0,11.26
ATLAS INTEGRATED FINANCE LTD INP000000530,MULTI ASSET,Multicap PMS Series/1/2025,10.28988,1.3,0,0,0,0,0,0,0,2.3
ATLAS INTEGRATED FINANCE LTD INP000000530,MULTI ASSET,Benchmark: BSE 500 TRI,,4.27,0,0,0,0,0,0,0,2.59
KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD INP000000837,MULTI ASSET,,,,,,,,,,,
KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD INP000000837,MULTI ASSET,Kotak Evolv Aggressive Asset Allocation Investment Approach,131.43,3.73,3.43,7.42,2.66,17,0,0,0,14.69
KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD INP000000837,MULTI ASSET,Benchmark: NSE Multi Asset Index 1,,2.55,3.6,7.64,8.03,15.35,0,0,0,12.74
KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD INP000000837,MULTI ASSET,Kotak Evolv Conservative Asset Allocation Investment Approach,26.8,1.94,2.35,4.75,5.62,11.79,0,0,0,10.72
KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD INP000000837,MULTI ASSET,Benchmark: NSE Multi Asset Index 1,,2.55,3.6,7.64,8.03,15.35,0,0,0,13.61
KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD INP000000837,MULTI ASSET,Kotak Evolv Moderate Asset Allocation Investment Approach,42.95,2.72,2.81,5.78,4.61,14.23,11.83,0,0,11.2
KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD INP000000837,MULTI ASSET,Benchmark: NSE Multi Asset Index 1,,2.55,3.6,7.64,8.03,15.35,12.69,0,0,12.31
KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD INP000000837,MULTI ASSET,Kotak Evolv Plus Asset Allocation Investment Approach,1134.64,2.07,2.05,4.78,4.54,13.81,0,0,0,12.24
KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD INP000000837,MULTI ASSET,Benchmark: NSE Multi Asset Index 1,,2.55,3.6,7.64,8.03,15.35,0,0,0,13.9
KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD INP000000837,MULTI ASSET,Kotak Pioneer Model Strategy Investment Approach Aggressive,61.01,3.5,6.22,10.78,11.89,19.4,16.05,0,0,16.43
KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD INP000000837,MULTI ASSET,Benchmark: NSE Multi Asset Index 1,,2.55,3.6,7.64,8.03,15.35,12.69,0,0,14.29
KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD INP000000837,MULTI ASSET,Kotak Pioneer Model Strategy Investment Approach Conservative,0.97,1.88,3.28,4.07,10.38,12.12,10.44,0,0,10.27
KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD INP000000837,MULTI ASSET,Benchmark: NSE Multi Asset Index 1,,2.55,3.6,7.64,8.03,15.35,12.69,0,0,14.05
KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD INP000000837,MULTI ASSET,Kotak Pioneer Model Strategy Investment Approach Moderate,8.19,2.72,4.72,7.51,11.15,15.99,13.16,0,0,13.43
KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD INP000000837,MULTI ASSET,Benchmark: NSE Multi Asset Index 1,,2.55,3.6,7.64,8.03,15.35,12.69,0,0,14.05
BONANZA PORTFOLIO LIMITED INP000000985,MULTI ASSET,,,,,,,,,,,
BONANZA PORTFOLIO LIMITED INP000000985,MULTI ASSET,BONANZA PLATINUM ALPHA,19.25,5.53,7.48,14.11,0,0,0,0,0,20.58
BONANZA PORTFOLIO LIMITED INP000000985,MULTI ASSET,Benchmark: NIFTY 50 TRI,,4.62,4.15,6.69,0,0,0,0,0,17.37
Tata Asset Management Private Limited INP000001058,MULTI ASSET,,,,,,,,,,,
Tata Asset Management Private Limited INP000001058,MULTI ASSET,TATA PMS - RETIREMENT FUND,3799.27658,1.28,1.33,2.78,8.41,9.81,9.26,7.67,0,7.67
Tata Asset Management Private Limited INP000001058,MULTI ASSET,Benchmark: CRISIL Long Term Debt Index,,0.63,0.41,0.91,6.22,8.41,8.08,6.29,0,6.37
Trust Investment Advisors Pvt. Ltd. INP000001843,MULTI ASSET,,,,,,,,,,,
Trust Investment Advisors Pvt. Ltd. INP000001843,MULTI ASSET,Trust Anchor,164.87,2.82,3.53,7.05,8.09,0,0,0,0,11.78
Trust Investment Advisors Pvt. Ltd. INP000001843,MULTI ASSET,Benchmark: Nifty Multi Asset - Equity : Debt : Arbitrage : REITs/InvITs (50:20:20:10) Index,,2.58,3.49,7.58,8.09,0,0,0,0,11.86
IMPETUS ARTHASUTRA PRIVATE LIMITED INP000002130,MULTI ASSET,,,,,,,,,,,
IMPETUS ARTHASUTRA PRIVATE LIMITED INP000002130,MULTI ASSET,IMPETUS TRINITY FOF,3.6194,1.67,0,0,0,0,0,0,0,2.18
IMPETUS ARTHASUTRA PRIVATE LIMITED INP000002130,MULTI ASSET,Benchmark: Nifty Multi Asset Index 1,,2.55,0,0,0,0,0,0,0,4.52
BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED INP000002585,MULTI ASSET,,,,,,,,,,,
BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED INP000002585,MULTI ASSET,Barclays Discretionary Multi Asset Class Aggressive,51.82091,2.93,3.98,9.91,9.61,18.81,0,0,0,16.74
BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED INP000002585,MULTI ASSET,Benchmark: NSE Multi Asset Index 2$,,2.58,3.49,7.58,8.09,15.5,0,0,0,15.18
